image_name,# of ecDNA (DAPI),# of ecDNA (green),# of ecDNA (red),# of ecDNA (DAPI and green),# of ecDNA (DAPI and red),# of ecDNA (red and green),# of ecDNA (DAPI and red and green),# of HSR (red),# of HSR (green)
2522.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2529.tif,"(0, 0.0)","(0, 0.0)","(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
2530.tif,"(5, 218)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2532.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2533.tif,"(2, 179)","(1, 11)","(2, 84)",0.0,0.0,0.0,0.0,1.0,0.0
2534.tif,"(5, 185)","(3, 15)","(3, 8)",0.0,0.0,0.0,0.0,1.0,2.0
2535.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2536.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2537.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2538.tif,"(1, 15)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2539.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2542.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2543.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2548.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2549.tif,"(2, 72)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2550.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2552.tif,"(1, 20)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2553.tif,"(3, 93)","(0, 0.0)","(3, 55)",0.0,0.0,0.0,0.0,2.0,0.0
2554.tif,"(9, 447)","(1, 2)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2555.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2556.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2557.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2558.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2559.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2562.tif,"(3, 55)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2563.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2566.tif,"(9, 294)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2569.tif,"(10, 297)","(0, 0.0)","(2, 4)",0.0,0.0,0.0,0.0,0.0,0.0
2570.tif,"(18, 716)","(0, 0.0)","(2, 8)",0.0,0.0,0.0,0.0,0.0,0.0
2571.tif,"(19, 765)","(0, 0.0)","(4, 56)",0.0,1.0,0.0,0.0,1.0,0.0
2572.tif,"(3, 92)","(0, 0.0)","(1, 4)",0.0,0.0,0.0,0.0,0.0,0.0
2573.tif,"(19, 636)","(1, 1)","(8, 124)",0.0,0.0,0.0,0.0,1.0,1.0
2574.tif,"(27, 810)","(0, 0.0)","(1, 6)",0.0,1.0,0.0,0.0,0.0,0.0
2575.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2576.tif,"(1, 22)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2577.tif,"(5, 140)","(0, 0.0)","(1, 2)",0.0,0.0,0.0,0.0,0.0,0.0
2578.tif,"(8, 151)","(0, 0.0)","(1, 2)",0.0,1.0,0.0,0.0,0.0,0.0
2579.tif,"(2, 47)","(1, 75)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2582.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2583.tif,"(0, 0.0)","(0, 0.0)","(3, 20)",0.0,0.0,0.0,0.0,0.0,0.0
2584.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2585.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2586.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2588.tif,"(3, 68)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2589.tif,"(2, 37)","(1, 2)","(3, 63)",0.0,0.0,0.0,0.0,1.0,1.0
2590.tif,"(3, 68)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2592.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2593.tif,"(5, 152)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2594.tif,"(3, 97)","(0, 0.0)","(2, 54)",0.0,0.0,0.0,0.0,1.0,0.0
2597.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2598.tif,"(1, 14)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2602.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2603.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2606.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2607.tif,"(4, 99)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2608.tif,"(4, 122)","(2, 42)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2609.tif,"(12, 466)","(0, 0.0)","(1, 3)",0.0,0.0,0.0,0.0,0.0,0.0
2610.tif,"(7, 293)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2612.tif,"(23, 723)","(0, 0.0)","(1, 19)",0.0,0.0,0.0,0.0,1.0,0.0
2613.tif,"(53, 2091)","(2, 8)","(2, 30)",0.0,0.0,0.0,0.0,1.0,0.0
2614.tif,"(1, 26)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2616.tif,"(1, 16)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2617.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2618.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2619.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2623.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2624.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2625.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2627.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2628.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2629.tif,"(11, 608)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2630.tif,"(4, 271)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2631.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2632.tif,"(5, 116)","(0, 0.0)","(1, 4)",0.0,0.0,0.0,0.0,0.0,0.0
2633.tif,"(11, 342)","(1, 2)","(2, 36)",0.0,0.0,0.0,0.0,3.0,0.0
2634.tif,"(6, 143)","(1, 10)","(2, 11)",0.0,0.0,0.0,0.0,1.0,2.0
2635.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2636.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2637.tif,"(10, 698)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2638.tif,"(2, 123)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2639.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2640.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2644.tif,"(19, 948)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2645.tif,"(7, 440)","(1, 6)","(1, 31)",0.0,1.0,0.0,0.0,1.0,0.0
2648.tif,"(11, 492)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2649.tif,"(5, 278)","(4, 17)","(5, 25)",0.0,0.0,0.0,0.0,2.0,3.0
2650.tif,"(1, 12)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2651.tif,"(4, 119)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,1.0,0.0
2654.tif,"(2, 54)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2655.tif,"(10, 354)","(2, 3)","(6, 24)",0.0,0.0,0.0,0.0,2.0,1.0
2658.tif,"(0, 0.0)","(2, 212)","(1, 2)",0.0,0.0,1.0,0.0,0.0,1.0
2659.tif,"(1, 34)","(1, 1)","(1, 5)",0.0,0.0,0.0,0.0,0.0,0.0
2660.tif,"(1, 50)","(0, 0.0)","(4, 78)",0.0,1.0,0.0,0.0,0.0,0.0
2661.tif,"(4, 119)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2664.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2665.tif,"(0, 0.0)","(0, 0.0)","(0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
2666.tif,"(1, 19)","(0, 0.0)","(1, 3)",0.0,0.0,0.0,0.0,0.0,0.0
